"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 08:36:50 UTC 2021","Fri Jul 30 08:36:51 UTC 2021","205","","Verify Add Remove elements","","Verify Add Remove elements","Add element","Add element",""
"failed","Fri Jul 30 08:35:50 UTC 2021","Fri Jul 30 08:35:50 UTC 2021","256","","Verify broken images","","Verify broken images","Verify Title","Verify Title",""
"passed","Fri Jul 30 08:36:51 UTC 2021","Fri Jul 30 08:36:51 UTC 2021","151","","Verify Add Remove elements","","Verify Add Remove elements","Remove element","Remove element",""
"passed","Fri Jul 30 08:36:50 UTC 2021","Fri Jul 30 08:36:50 UTC 2021","28","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Verify Add button","Verify Add button",""
"passed","Fri Jul 30 08:36:50 UTC 2021","Fri Jul 30 08:36:50 UTC 2021","126","","Check Add Remove elements page defaults","","Check Add Remove elements page defaults","Check h3 header displayed","Check h3 header displayed",""
